conversation_id,retweets_count,mentions,created_at,likes_count,in_reply_to_user_id,_id,source,user_id,in_reply_to_status_id,replies_count,quoted_status_id,cashtags,urls,tweet,hashtags,tweet_tokens,lemmatized_tweet,lemmatized_tweet_token,tweet_size,lemmatized_tweet_size,position,index_dup
1354546598500569097,0,,2021-01-27 21:47:29+00:00,3,,1354546598500569097,Twitter for iPhone,772526373831344128,,1,,,,دورکاری کار میگی هفته‌ست تسک انجام میدی نادانم هیچی امضا تسک‌ها قبول 😭,[],"['دورکاری', 'کار', 'میگی', 'هفته\u200cست', 'تسک', 'انجام', 'میدی', 'نادانم', 'هیچی', 'امضا', 'تسک\u200cها', 'قبول', '😭']",دورکاری کار هفته‌ست تسک انجام میدی نادان امضا تسک‌ها قبول 😭,"['دورکاری', 'کار', 'هفته\u200cست', 'تسک', 'انجام', 'میدی', 'نادان', 'امضا', 'تسک\u200cها', 'قبول', '😭']",13,11,1,54
1380855270033797120,0,['1905589586'],2021-04-10 14:26:01+00:00,2,1905589586.0,1380889813340028935,Twitter for Android,250697076,1.380855270033797e+18,0,,,,هستندبانکها ظرفیت کار میکنن تازه جالب بیماری شیوع برادر ساختمان بانک ایران زمین کار میکنه میرداماد مریضی افتاده مرخصی نمیدن زن شرکت کاسپین وابسته بانک پارسیانه نکردن برسه دورکاری,[],"['هستندبانکها', 'ظرفیت', 'کار', 'میکنن', 'تازه', 'جالب', 'بیماری', 'شیوع', 'برادر', 'ساختمان', 'بانک', 'ایران', 'زمین', 'کار', 'میکنه', 'میرداماد', 'مریضی', 'افتاده', 'مرخصی', 'نمیدن', 'زن', 'شرکت', 'کاسپین', 'وابسته', 'بانک', 'پارسیانه', 'نکردن', 'برسه', 'دورکاری']",هستندبانکها ظرفیت کار میکنن تازه جالب بیمار شیوع برادر ساختمان بانک ایران زمین کار میکنه میرداماد مریض افتاده مرخص نمیدن زن شرکت کاسپین وابسته بانک پارسیانه نکردن برسه دورکاری,"['هستندبانکها', 'ظرفیت', 'کار', 'میکنن', 'تازه', 'جالب', 'بیمار', 'شیوع', 'برادر', 'ساختمان', 'بانک', 'ایران', 'زمین', 'کار', 'میکنه', 'میرداماد', 'مریض', 'افتاده', 'مرخص', 'نمیدن', 'زن', 'شرکت', 'کاسپین', 'وابسته', 'بانک', 'پارسیانه', 'نکردن', 'برسه', 'دورکاری']",29,29,2,109
1378595571821383686,0,,2021-04-04 06:29:32+00:00,1,7.796771450145997e+17,1378595575365505024,Twitter for Android,779677145014599680,1.3785955718213837e+18,0,,,,اداراتی خدمات غیرضروری ارائه کارمندان صورت دورکار وظایف انجام جرای دقیق دورکاری کارمندان سبک ترافیک شهر تهران الزامی,[],"['اداراتی', 'خدمات', 'غیرضروری', 'ارائه', 'کارمندان', 'صورت', 'دورکار', 'وظایف', 'انجام', 'جرای', 'دقیق', 'دورکاری', 'کارمندان', 'سبک', 'ترافیک', 'شهر', 'تهران', 'الزامی']",ادارات خدمات غیرضروری ارائه کارمند صورت دورکار وظایف انجام جرای دقیق دورکاری کارمند سبک ترافیک شهر تهران الزام,"['ادارات', 'خدمات', 'غیرضروری', 'ارائه', 'کارمند', 'صورت', 'دورکار', 'وظایف', 'انجام', 'جرای', 'دقیق', 'دورکاری', 'کارمند', 'سبک', 'ترافیک', 'شهر', 'تهران', 'الزام']",18,18,2,143
1378595571821383686,0,,2021-04-04 06:29:32+00:00,1,,1378595571821383686,Twitter for Android,779677145014599680,,1,,,,استاندار تهران شهرهای نارنجی جمله تهران کارمندان مشاغل ضروری صورت کاری کارهای محوله انجام ادارات کارمندان صورت دورکاری کارهای انجام شهرهای قرمز خدمات ضروری حضور کارمندان نصف کاهش,[],"['استاندار', 'تهران', 'شهرهای', 'نارنجی', 'جمله', 'تهران', 'کارمندان', 'مشاغل', 'ضروری', 'صورت', 'کاری', 'کارهای', 'محوله', 'انجام', 'ادارات', 'کارمندان', 'صورت', 'دورکاری', 'کارهای', 'انجام', 'شهرهای', 'قرمز', 'خدمات', 'ضروری', 'حضور', 'کارمندان', 'نصف', 'کاهش']",استاندار تهران شهر نارنج جمله تهران کارمند مشاغل ضروری صورت کاشت کار محوله انجام ادارات کارمند صورت دورکاری کار انجام شهر قرمز خدمات ضروری حضور کارمند نصف کاهش,"['استاندار', 'تهران', 'شهر', 'نارنج', 'جمله', 'تهران', 'کارمند', 'مشاغل', 'ضروری', 'صورت', 'کاشت', 'کار', 'محوله', 'انجام', 'ادارات', 'کارمند', 'صورت', 'دورکاری', 'کار', 'انجام', 'شهر', 'قرمز', 'خدمات', 'ضروری', 'حضور', 'کارمند', 'نصف', 'کاهش']",28,28,1,144
1375700048445595653,0,,2021-03-27 06:43:45+00:00,19,,1375700048445595653,Twitter Web App,2876691,,1,,,,شرکت دورکاری دفعه موضوعی می‌شدیم می‌رفتیم میز همدیگه بازخورد می‌گرفتیم حرف می‌زدیم دورکاری موضوع جلسه جلسه پیغام متنی اثرگذاری,[],"['شرکت', 'دورکاری', 'دفعه', 'موضوعی', 'می\u200cشدیم', 'می\u200cرفتیم', 'میز', 'همدیگه', 'بازخورد', 'می\u200cگرفتیم', 'حرف', 'می\u200cزدیم', 'دورکاری', 'موضوع', 'جلسه', 'جلسه', 'پیغام', 'متنی', 'اثرگذاری']",شرکت دورکاری دفعه موضوع میز همدیگه بازخورد حرف زد دورکاری موضوع جلسه جلسه پیغام متنی اثرگذاری,"['شرکت', 'دورکاری', 'دفعه', 'موضوع', 'میز', 'همدیگه', 'بازخورد', 'حرف', 'زد', 'دورکاری', 'موضوع', 'جلسه', 'جلسه', 'پیغام', 'متنی', 'اثرگذاری']",19,16,0,150
1381886926756704256,0,,2021-04-13 08:28:12+00:00,8,,1381886926756704256,Twitter for Android,973527189114167297,,0,,,,دورکاری خوبه نیم بیدار خوابیدم پاشدم حین صبحونه جلسه خوابیدم بیدار ایمیل چک کار کوچولو خوابیدم ناهار بخورم بیام خواب برسم ^^,[],"['دورکاری', 'خوبه', 'نیم', 'بیدار', 'خوابیدم', 'پاشدم', 'حین', 'صبحونه', 'جلسه', 'خوابیدم', 'بیدار', 'ایمیل', 'چک', 'کار', 'کوچولو', 'خوابیدم', 'ناهار', 'بخورم', 'بیام', 'خواب', 'برسم', '^^']",دورکاری خوبه نیم بیدار خوابید پاشدم حین صبحونه جلسه خوابید بیدار ایمیل چک کار کوچولو خوابید ناهار خورد بیام خواب ^^,"['دورکاری', 'خوبه', 'نیم', 'بیدار', 'خوابید', 'پاشدم', 'حین', 'صبحونه', 'جلسه', 'خوابید', 'بیدار', 'ایمیل', 'چک', 'کار', 'کوچولو', 'خوابید', 'ناهار', 'خورد', 'بیام', 'خواب', '^^']",22,21,2,245
1384589218333216790,0,,2021-04-20 19:26:08+00:00,1,,1384589218333216790,Twitter for Android,1060626855374581762,,2,,,,ایران می‌شناسید نزدیک‌کار کرونا نگرفته باشه‌‌ ‌‌ نزدیک‌کار لزوما کار می‌کنه دورکار مدنظره خونه کرونا نگرفته میشناسم,[],"['ایران', 'می\u200cشناسید', 'نزدیک\u200cکار', 'کرونا', 'نگرفته', 'باشه\u200c\u200c', '\u200c\u200c', 'نزدیک\u200cکار', 'لزوما', 'کار', 'می\u200cکنه', 'دورکار', 'مدنظره', 'خونه', 'کرونا', 'نگرفته', 'میشناسم']",ایران شناخت نزدیک‌کار کرونا باشه‌‌ ‌‌ نزدیک‌کار لزوما کار می‌کنه دورکار مدنظره خونه کرونا میشناسم,"['ایران', 'شناخت', 'نزدیک\u200cکار', 'کرونا', 'باشه\u200c\u200c', '\u200c\u200c', 'نزدیک\u200cکار', 'لزوما', 'کار', 'می\u200cکنه', 'دورکار', 'مدنظره', 'خونه', 'کرونا', 'میشناسم']",17,15,2,341
1381925450457432064,0,,2021-04-13 11:01:16+00:00,14,,1381925450457432064,Twitter for Android,6101652,,0,,,,اونقدر شرایط دورکاری گذاشتن ترجیح میدم سرکار بیکاری بمونم خونه دورکاری,[],"['اونقدر', 'شرایط', 'دورکاری', 'گذاشتن', 'ترجیح', 'میدم', 'سرکار', 'بیکاری', 'بمونم', 'خونه', 'دورکاری']",اونقدر شرایط دورکاری گذاشتن ترجیح میدم سرکار بیکاری بمونم خونه دورکاری,"['اونقدر', 'شرایط', 'دورکاری', 'گذاشتن', 'ترجیح', 'میدم', 'سرکار', 'بیکاری', 'بمونم', 'خونه', 'دورکاری']",11,11,0,367
1375187471131156481,0,['1165717039'],2021-03-26 09:32:10+00:00,1,1165717039.0,1375380042621009920,Twitter for iPhone,616174213,1.3753624234362184e+18,0,,,,ببین مدرسه چرخ بازارو میچرخونه مادرپدرها دورکاری مدرسه تعطیل نمیتونند والدین توقع کار تولید سرمایه مدیره لحنش اینطوریه ببخشید ناخواسته خودتون بچه‌هاتونو نگه,[],"['ببین', 'مدرسه', 'چرخ', 'بازارو', 'میچرخونه', 'مادرپدرها', 'دورکاری', 'مدرسه', 'تعطیل', 'نمیتونند', 'والدین', 'توقع', 'کار', 'تولید', 'سرمایه', 'مدیره', 'لحنش', 'اینطوریه', 'ببخشید', 'ناخواسته', 'خودتون', 'بچه\u200cهاتونو', 'نگه']",دید مدرسه چرخ بازارو میچرخونه مادرپدرها دورکاری مدرسه تعطیل نمیتونند والدین توقع کار تولید سرمایه مدیره لحن اینطوریه ببخشید ناخواسته خودتون بچه‌هاتونو نگه,"['دید', 'مدرسه', 'چرخ', 'بازارو', 'میچرخونه', 'مادرپدرها', 'دورکاری', 'مدرسه', 'تعطیل', 'نمیتونند', 'والدین', 'توقع', 'کار', 'تولید', 'سرمایه', 'مدیره', 'لحن', 'اینطوریه', 'ببخشید', 'ناخواسته', 'خودتون', 'بچه\u200cهاتونو', 'نگه']",23,23,1,375
1380865522363949066,0,,2021-04-10 12:49:30+00:00,13,,1380865522363949066,Twitter for Android,1010488304398143489,,1,,,,عنوان منشی شرکت اونورم کارش کپی بگیره زنگ بزنه داخلی وصل کرونا کاری لامصب دورکاری کاری,[],"['عنوان', 'منشی', 'شرکت', 'اونورم', 'کارش', 'کپی', 'بگیره', 'زنگ', 'بزنه', 'داخلی', 'وصل', 'کرونا', 'کاری', 'لامصب', 'دورکاری', 'کاری']",عنوان منشی شرکت اونورم کار کپی بگیره زنگ بزنه داخل وصل کرونا کاشت لامصب دورکاری کاشت,"['عنوان', 'منشی', 'شرکت', 'اونورم', 'کار', 'کپی', 'بگیره', 'زنگ', 'بزنه', 'داخل', 'وصل', 'کرونا', 'کاشت', 'لامصب', 'دورکاری', 'کاشت']",16,16,1,384
