conversation_id,retweets_count,mentions,created_at,likes_count,in_reply_to_user_id,_id,source,user_id,in_reply_to_status_id,tweet,sentiment,replies_count,quoted_status_id,hashtags,cashtags,urls
1529092391138902022,0,['2649227545'],2022-05-24 19:44:12+00:00,0,2649227545,1529186523144495107,Twitter for Android,949232661796671488,1.53E+18,@Saed_sanatnegar کرمان که هیچی دورکاری هم به دلیل مسافت زیاد رد میشه,0,0,,,,
1458871702906101763,0,['1161245577088294912'],2021-11-11 21:10:42+00:00,0,1.16E+18,1458905043575398414,Twitter for Android,1262054141532217344,1.46E+18,@mohamad_pazouki دقیق نمی‌دونم. چند وقت پیش یه نفر بهم سپرده بود اگر کسی نیازمند هست و می‌تونه کار در منزل انجام بده بهش بگم. ان شاءالله فردا می‌پرسم,1,1,,,,
1120306728472465408,0,['1285471882905518080'],2019-04-22 13:08:44+00:00,7,139932309,1120313485814972416,Twitter for Android,139932309,1.12E+18,سپندار معینی (نقل به مضمون): آینده شغلی نویسنده دورکار: ویراستار دورکار کارشناس بازاریابی محتوایی مدیر وبلاگ کپی‌رایتر مدیر محتوا  #cando14 @Sepandarmoeeni,1,1,,['cando14'],,
1249188142650986496,0,,2020-04-12 04:10:36+00:00,0,,1249188142650986496,Twitter for Android,103213149,,این همه راه اومدم شرکت، میگن دورکاری برقراره؟؟ جواب قلب شکسته من وقتی ساعت ۵صبح از خواب بیدارشدم رو کی میده؟؟ هان؟,1,0,,,,
1499776965729001475,5,,2022-03-04 16:01:07+00:00,65,,1499776965729001475,Twitter Web App,1435566628373159939,,شرکت Matter Labs (zkSync) هم چندین موقعیت شغلی ریموت (به شکل جهانی) داره. اگر دنبال کار ریموت میگردید اینجا هم بررسی کنید. (هم توسعه دهنده و هم غیرتوسعه دهنده)  https://t.co/zBjo6mKIWL,1,1,,,,['https://boards.eu.greenhouse.io/matterlabs']
1377296638440525831,0,['1234132116889362432'],2021-03-31 19:14:49+00:00,1,1.23E+18,1377338610400169986,Twitter for iPhone,947434167658311681,1.38E+18,@Miiniimh من ک فعلا دورکار هستم :),1,0,,,,
1359197142754226176,0,,2021-02-09 17:47:06+00:00,7,,1359197142754226176,Twitter for iPhone,750647144504238080,,وقتی بعد از یک سال دورکاری رفتم رو ترازو  https://t.co/EVaZrH4M6X,1,0,,,,
1341999306694393856,0,,2020-12-24 06:49:02+00:00,2,,1341999306694393856,Twitter for Android,748946416219873280,,رئیس ما خیلی گاوه یه گاو بالغ  کرونا داره ولی اومده سر کار. بهش میگیم برای چی دورکاری نمیگیری؟ میگه مشکلی ندارم. تو هر بدنی فرق داره!  ابله پس ما چی!!؟,2,0,,,,
1504445018299416576,1,,2022-03-17 13:10:18+00:00,62,,1504445018299416576,Twitter for iPhone,1156975028493328384,,خب چشممون به جمال اصطلاح Overemployed هم روشن شد. گویا به کسایی میگن که با استفاده/سواستفاده از شرایط دورکاری با دو جا همزمان قرارداد تمام‌وقت می‌بندن و حقوق دو برابر به جیب میزنن,1,6,,,,
1234542868523573248,0,,2020-03-02 18:15:31+00:00,6,,1234542868523573248,Twitter for Android,2572601448,,وقتی یک شرکت تصمیم به دورکاری میگیره و یکی علیرغم اینکه میتونه دورکاری کنه پا میشه میره نه تنها نشونه مسئولیت پذیری نیست و لطفی نکرده بلکه کاملا به ضرر شرکت رفتار کرده چون بخاطر یک حضور غیرضرور ریسک ابتلا و انتقال به دیگران رو افزایش داده. دورکاری یه لطف اجباریه.,2,0,,,,
1272085387633180672,1,,2020-06-14 08:36:05+00:00,23,,1272085387633180672,Twitter Web App,1000317644065705984,,چیزایی که اینجا نوشتم: ✅آُسیب‌شناسی مشاغل محتوا محور در فضای #دورکاری ✅عوامل تأثیرگذار در تعیین #تعرفه_تولید_محتوا ✅فرمول پیشنهادی خودم برای محاسبه تعرفه ✅معرفی 13 سایت ایرانی ارائه دهنده خدمات #تولید_محتوا و بررسی قیمت‌هاشون 👇چون متن خیلی  https://t.co/puuA3MtJq1,1,1,,"['دورکاری', 'تعرفه_تولید_محتوا', 'تولید_محتوا']",,['https://bit.ly/3hr7Gs5']
1334806028400140290,2,,2020-12-04 10:25:31+00:00,26,,1334806028400140290,TweetDeck,1005185803172106241,,سخنگوی آموزش و پرورش تهران: هفته آینده تمام کارکنان ادارات و نیروهای اداری مدارس به صورت ۵۰ درصد حضوری و سایرین به صورت دورکاری فعالیت خواهند کرد. آموزش‌های مدارس همچنان به صورت غیرحضوری خواهد بود,1,0,,,,
1368101618282037252,0,,2021-03-06 07:30:18+00:00,0,,1368101618282037252,Twitter Web App,2508134527,,خیلیا اینجا گفتن به اکستون فرصت دوباره ندید بهشون برنرگیدن و از این صحبتا ولی پیش خودم گفتم نکنه اون بهترین بود؟ (با توجه به کیسای داغونی که بعدش سر راهم قرار کرفته بودن) خلاصه مجدد کانکت شدیم بیشتر تماسای  تصویری در حین دورکاری و شب کاریا. خوب بود حس نزدیکی بیشتری باهاش داشتم/,1,1,,,,
1360635571736096768,0,"['706332668208635905', '894543714206580736']",2021-02-13 20:32:51+00:00,1,7.06E+17,1360688410005020674,Twitter for iPhone,1091747906,1.36E+18,@mjr1360 @_Tahere8 بنظرت یک پرستار باردار ماسک نمی زده؟ همکار من بارداره و از ابتدای بارداری دورکار شد. چرا یک پرستار باردار باید بره سرکار در محیط آلوده؟,2,0,,,,
1233934146214469633,1,,2020-03-01 01:56:40+00:00,8,,1233934146214469633,Twitter Web App,216121306,,نتیجه اولین روز دورکاری اینه که هنوز بیدارم. بالانس بین کار و زندگی احتمالا سخت‌ترین قسمت دورکاری باشه,0,1,,,,
1404184637241532417,0,"['1029705528635609088', '4710481436']",2021-06-14 19:32:52+00:00,0,1.03E+18,1404522246505381896,Twitter for Android,1320462604486270985,1.40E+18,@Khanalizadeh_IR @alirazavi779 @razmandeh1367 عزل و نصب چی ؟ آن هم وظیفه رییس جمهور نیست؟چون با چشم خود دیدیم که رییس جمهور برای انجام وظیفه قانونی خود ۱۱ روز دورکاری کرد.جوان مومن انقلابی عزیز پر از تناقضی,1,0,,,,
1398649989019099146,40,,2021-05-29 14:38:37+00:00,69,,1398649989019099146,Twitter for Android,778177699,,Full stack developer موقعیت شغلی دورکاری. حقوق ماهیانه ۲ تا ۳ هزار دلار. ریتوییت کنید شاید به کار کسی اومد.  https://t.co/mWFTasoZ7U #بازارکار,1,1,,['بازارکار'],,['https://jobinja.ir/companies/done-studio/jobs/RciF']
542911838002753536,0,,2014-12-11 05:20:43+00:00,0,,542911838002753536,Google,632285152,,آگهی های استخدام کار در منزل در اصفهان | ۲۰ آذر ۹۳  http://t.co/RBZwa4Ca2g,1,0,,,,['http://goo.gl/fb/Akt6UJ']
1353033283647496192,0,['187031790'],2021-01-24 10:07:45+00:00,0,187031790,1353283339948617728,Twitter for Mac,169951397,1.35E+18,@rMoini نه رضا. ۸-۹ ماه هست این مسئولیت رو دارم. منتهی هم اون موقع حجم کار کمتر بود هم افرادی که باید منیج میکردم ۵-۶ نفر بودن الان ۱۵ نفر هستن که همه دورکار هستن. بعد اکثرا هم کامپیوتری نیستن هزارجور مشکل براشون توی کار بوجود میاد :/,0,1,,,,
